Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.363747966,0.017295616,1.803762451,0.009648009,2.731183901,0.016758214,3.920472586,0.011356545,5.109947149,0.017683803,5.076273414,0.012914022,6.400035513,0.01261325,7.858241153,0.015528493,8.321873438,0.014134048
1.407740489,0.037168086,1.931521458,0.015078445,2.866030248,0.045391224,4.088735552,0.028535345,5.251385629,0.038271831,5.26451009,0.018408165,6.601870994,0.028174888,8.026594602,0.03841677,8.462263388,0.015671863
1.495516181,0.063702776,2.079815036,0.044214556,2.974118536,0.081624984,4.203524966,0.063601589,5.352763751,0.075102683,5.452849484,0.030383857,6.776894167,0.047914145,8.141391147,0.073932973,8.61766966,0.022498338
1.5498784,0.1018902,2.161058986,0.082604921,3.06204387,0.117602113,4.271329575,0.101986724,5.413948047,0.11975463,5.829546949,0.055513705,6.856702391,0.061305082,8.209252408,0.115892781,8.76563076,0.030655119
1.590867516,0.144252012,2.208728553,0.122494574,3.136600833,0.158052175,4.319018752,0.143113764,5.461676444,0.163356444,5.993420825,0.078413334,6.932027437,0.084626312,8.267049415,0.158811079,8.913808163,0.052460651
1.656511112,0.215880558,2.255001021,0.159029011,3.191038006,0.200969166,4.359973007,0.183275777,5.502761431,0.211767702,6.099618052,0.136657303,7.040241146,0.12877411,8.305993434,0.199329775,9.048553886,0.074744243
1.686799306,0.261427895,2.277093135,0.196213975,3.231974829,0.240031279,4.407768949,0.2311397,5.547670044,0.259159119,6.174236895,0.181012007,7.114907053,0.176098542,8.347080164,0.247851023,9.156633458,0.110428053
1.719738763,0.304666488,2.310023877,0.238902619,3.272981377,0.283492991,4.435262074,0.26992161,5.585038171,0.315327101,6.242202306,0.229543713,7.169379088,0.221215331,8.386789842,0.29428194,9.231099842,0.145162566
1.741820419,0.341191513,2.338940683,0.282717091,3.31407508,0.332454199,4.469487943,0.309531059,5.61258359,0.357408709,6.303506877,0.281784966,7.210368204,0.263577143,8.427927122,0.345992896,9.285419355,0.180655237
