#data from https://arxiv.org/pdf/2108.01090.pdf, HSC
#z, mABcut, <b>, error in b number/Mpc-3
3.8 23.5    8.55    0.09	1.1e-6
3.8 24.0    6.70    0.09	1.0e-5
3.8 24.5    5.35    0.07	6.1e-5
3.8 25.0    4.41    0.06	2.6e-4
3.8 25.5    3.85    0.05	8.1e-4
3.8 26.0    3.44    0.05	1.6e-3

4.9 23.5    11.0    0.11	2.2e-7
4.9 24.0    8.64    0.09	2.9e-6
4.9 24.5    7.11    0.08	1.7e-5
4.9 25.0    6.17    0.07	6.4e-5
4.9 25.5    5.37    0.06	1.9e-4
4.9 26.0    4.99    0.06	4.2e-4

5.9 24.5    10.1    0.1 	1.6e-6
5.9 25.0    8.77    0.14 	7.7e-6
5.9 25.5    7.68    0.1 	3.2e-5
